source,titre,prix,quartier,chambres,salles_de_bain,surface_m2,meuble,vue_mer,neuf,lien,surface_estimee,quartier_score
loger-dakar,"À louer : Spacieuse villa R+1 avec grand jardin à Mbour 3, Thiès",600000.0,Autre,7.0,6.0,300.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/a-louer-spacieuse-villa-r1-avec-grand-jardin-a-mbour-3-thies/,1,639511.9856115108
loger-dakar,Corniche ouakam appartement à louer 3 chambres salon,1300000.0,Ouakam,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/corniche-ouakam-appartement-a-louer-3-chambres-salon/,1,740800.0
loger-dakar,Fan résidence appartement à louer 3 chambres salon balcon,2700000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/fan-residence-appartement-a-louer-3-chambres-salon-balcon-3/,1,639511.9856115108
loger-dakar,Fan résidence appartement à louer 3 chambres salon balcon,3500000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/fan-residence-appartement-a-louer-3-chambres-salon-balcon-2/,1,639511.9856115108
loger-dakar,Fan résidence appartement à louer 3 chambres salon balcon,3500000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/fan-residence-appartement-a-louer-3-chambres-salon-balcon/,1,639511.9856115108
loger-dakar,Villa à louer Almadies,1800000.0,Almadies,0.0,1.0,20.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/villa-a-louer-almadies-2/,1,1074463.5443349753
loger-dakar,Villa à louer Almadies,2000000.0,Almadies,0.0,1.0,20.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/villa-a-louer-almadies/,1,1074463.5443349753
loger-dakar,Villa à louer point E,2000000.0,Point E,0.0,1.0,20.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/villa-a-louer-point-e-2/,1,1003072.2891566266
loger-dakar,Villa à louer point E,2000000.0,Point E,0.0,1.0,20.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/villa-a-louer-point-e/,1,1003072.2891566266
loger-dakar,Appartement à louer à Malicounda SN,135000.0,Autre,3.0,2.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-a-louer-a-malicounda-sn/,1,639511.9856115108
loger-dakar,Appartement neuf 3 chambres – Almadies (RDC),550000.0,Almadies,3.0,3.0,140.0,0.0,0.0,1.0,https://www.loger-dakar.com/Bien/appartement-neuf-3-chambres-almadies-rdc/,1,1074463.5443349753
loger-dakar,STUDIO À LOUER SCAT URBAM,175000.0,Autre,1.0,2.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-a-louer-scat-urbam/,1,639511.9856115108
loger-dakar,Mermoz Sotrac appartement à louer 2 chambres salon,900000.0,Mermoz,2.0,2.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/mermoz-sotrac-appartement-a-louer-2-chambres-salon/,1,1032668.5082872928
loger-dakar,À louer : Belle villa meublée F5 au sein de la Résidence Le Golf,1200000.0,Autre,4.0,4.0,180.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/a-louer-belle-villa-meublee-f5-au-sein-de-la-residence-le-golf/,1,639511.9856115108
loger-dakar,YOFF grand Villa 400m² R+2 à louer 8 chambres salon,1500000.0,Yoff,8.0,8.0,340.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/yoff-grand-villa-400m%c2%b2-r2-a-louer-8-chambres-salon/,1,528798.4732824428
loger-dakar,Studio F2 lumineux à louer à ngor,225000.0,Ngor,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-f2-lumineux-a-louer-a-ngor/,1,799681.1320754717
